Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
86.33-3-5,12,Main St,Multi Family Residence,Domestic,Single Dwelling,1914,,Four Square Italianate,2,wood frame,wood clapboard,wood shingle,"metal clapboard, asbestos shingle",hipped,asphalt,concrete block,entrance,entrance,altered,intact,altered,Yes,No,"2 story, 2 bay façade, entrance w/ replaced porch (full front porch removed); large plate glass window w/ leaded glass transom; large, central front gable dormer w/ tripartite window",part of Water Street Market property,,,,,,,concrete block retaining wall along sidewalk (c1998)
86.33-3-6,16,Main St,Multi Family Residence,Domestic,Hotel,1872,,Italianate,3,wood frame,wood clapboard,,asbestos shingle,flat,asphalt,stone,wrap,wrap,altered,intact,altered,Yes,No,"3 story corner building w/ bracketed cornice, plain window trim and arched entrance (N side); full front porch w/ iron pipe posts and rails; remnant of 2-story porch wrap on S & E street facades; 2 story rear ell w/ same cornice & window decoration",notable example of type,barn,1872,wood frame,"L shaped 2 story stable; W section older; stone foundation, wood shingle siding; standing seam metal roof (over wood shingle); façade infilled w/ 1 OHD",,,mature trees & hedge on Wurts Ave; paved parking lot
86.33-3-7,26,Main St,Parking Lot,Landscape,Parking Lot,1978,,,,,,,,,,,,,,,altered,No,No,paved parking lot; site of Church house; stone retaining walls along Main St & Wurts Ave,,,,,,,,
86.33-3-8,28,Main St,Parking Lot,Landscape,Parking Lot,1978,,,,,,,,,,,,,,,altered,No,No,paved parking lot; site of DuBois house; stone retaining wall along Main St,,,,,,,,
86.34-2-16,29,Main St,Commercial,Commerce/ Trade,Financial Institution,1935,1977,Moderne,1,brick,coursed limestone veneer,brick,,flat,asphalt,concrete block,,,,intact,intact,Yes,No,long low building w/ veined sandstone veneer on S & W sides; S façade banded w/ tall fascia course & shallow cornice; central entrance pavilion w/ dentil course & parapet wall; planting boxes w/ stone face at base of flanking wings w/ trimmed box hedges,notable example of type,office building,c1980,"brick, concrete blk",2 story w/ 1 story façade on E side (facing parking lot); 7 bays w/ pairs of arched windows and central entrance w/ front gable porch; lower entrance on W side of building,,,paved parking lot N side; abuts rail trail
86.33-3-10,40,Main St,Office,Commerce/ Trade,Professional,1860,1962,Colonial Revival,2,wood frame,composition clapboard,bluestone,,front gable,asphalt,concrete block,entrance,entrance,intact,intact,intact,Yes,No,"2 story, 3 bay front gable façade w/ central entrance w/ sidelights; 1st story windows large multipaned picture windows",,,,,,,,"paved parking lot on S side, entrance on S. Chestnut St"
86.33-3-11,44,Main St,Commercial,Commerce/ Trade,Specialty Store,1991,c1998,Dutch Colonial Revival,1 1/2,concrete block,concrete block,brick,,front gable,asphalt,concrete block,,,,intact,intact,No,No,"replaced c1860 building burned in 1990; front gable façade w/ banded courses of read & black brick & rough faced concrete block; tripartite storefront, entrance on side, parapet cornice","notable example of type; Matthew Bialecki, architect",,,,,,,
86.33-3-12,46,Main St,Commercial,Commerce/ Trade,Specialty Store,1864,c1985,Italianate,2,wood frame,wood clapboard,,"wood shingle, asphalt sheets",front gable,asphalt,stone,full front,full front,altered,altered,altered,No,No,"2 story, front gable façade; bracketed cornice; porch space enclosed w/ large bow window at street level, angled skylight across second story",,,,,,,,
86.33-3-13,48,Main St,Commercial,Commerce/ Trade,Specialty Store,1890,,Classical Revival,3,wood frame,wood clapboard,,asbestos shingle,flat,asphalt,brick,entrance,entrance,intact,mixed,altered,Yes,No,"triangular plan form w/ acute angle at intersection; entrance recessed in NE corner, storefront along Main St; plain box cornice",notable example of type,,,,,,,
86.148-1-9.1,49,Main St,Commercial,Domestic,Single Dwelling,1835,"c1970, c1995",Greek Revival,1 1/2,wood frame,wood clapboard,,,gable,asphalt,stone,entrance,entrance,removed,mixed,altered,Yes,No,"1 1/2 story, 5 bay façade w/ center entrance; corner pilasters and tall cornice w/ fascia windows; entrance w/ pilasters, side lights and transom; porch removed, replaced w/ front gable vestibule; skylight in front roof, shutters added",,,,,,,,patio added to front (c1995)
86.148-1-9.2,51,Main St,Commercial,Commerce/ Trade,Specialty Store,1952,,,1,concrete block,stucco,,plywood,flat,asphalt,concrete block,,,,replaced,altered,No,No,"1 story parapet façade, stuccoed w/ plywood storefront",,,,,,,,
86.148-1-10,52,Main St,Commercial,Commerce/ Trade,Specialty Store,1987,,Second Empire Revival,2,concrete block,brick veneer,vinyl clapboard,,mansard,asphalt,concrete block,full front,full front,intact,intact,intact,No,No,"2 story façade w/ mansard roof, bracketed cornice; gable end facing S. Chestnut St w/ arched windows; porch recessed under 2nd story, stairs on W end, ramp on E end","reconstruction following fire in 1987; Matthew Bielecki, architect",,,,,,,
86.148-1-12,58,Main St,Commercial,Commerce/ Trade,Specialty Store,1893,,Classical Revival,2,brick,brick,,,hipped,asphalt,brick,,,,intact,altered,Yes,No,"storefront stuccoed & windows altered, brick end piers painted; large wood pentice added w/ rough sawn shingles; pressed metal cornice w/ central pedimented parapet, brackets & end spires; terra cotta tiles embedded in façade, stone headers & sills",,,,,,,,paved parking lot on S side
86.148-1-7,59,Main St,Commercial,Commerce/ Trade,Specialty Store,1888,,Italianate,2,brick,brick,,,flat,asphalt,brick,,,,intact,intact,Yes,No,"2 story façade w/ massive wood cornice w/ central barrel canopy, 2 sizes of brackets, panels and star bosses; cornice over storefront; cast iron features encased in altered storefront; scroll sawn wood hood over door on E side",,,,,,,,
86.127-1-17,69,Main St,Commercial,Commerce/ Trade,Specialty Store,1893,,Italianate,3,brick,brick,,,hipped,asphalt,brick,,,,replaced,intact,Yes,No,"triangular polygon plan (flatiron), Main St façade w/ 3 storefronts, each with door and large window w/ segmental arched heads; Storefront w/cornice on basement level on Church St; segmental arched windows in upper stories; wood bracketed cornice",notable example of type,,,,,,,
86.127-1-18,71,Main St,Commercial,Commerce/ Trade,Specialty Store,1894,,Italianate,2,brick,brick,,,flat,asphalt,brick,,,,intact,intact,Yes,No,"storefront (altered) on Main St; storefront in basement on Church St; segmental arched windows w/ brick dentils and stone sills; ornate bracketed wood cornice on Main St, plain cornice on Church St",notable example of type,,,,,,,
86.127-1-15,83,Main St,Commercial,Commerce/ Trade,Specialty Store,1933,c1970,Moderne,1,concrete block,metal,stucco,,front gable,asphalt,concrete block,entrance,entrance,intact,replaced,altered,Yes,No,"tall, stepped parapet façade, stuccoed w/ flourescent lighting along top; corrugated metal siding beneath display windows; entrance recessed into façade w/ metal brace",,,,,,,,unpaved parking lot N side
86.148-1-17,84,Main St,Commercial,Commerce/ Trade,Specialty Store,1945,c1995,,1,brick,brick,stucco,,flat,asphalt,concrete block,,,,altered,altered,Yes,No,1 story parapet façade w/ brick kneewalls and vertical wood siding,,,,,,,,
86.127-1-14,91,Main St,Commercial,Commerce/ Trade,Restaurant,1900,"1914, c1995",Shingle Style,2,wood frame,wood shingle,,,hipped,asphalt,concrete block,,,,altered,altered,Yes,No,"prominent hipped roof & box cornice; 1st story storefronts and side windows altered; 2nd story restored w/ wood shingle siding, windows replaced","notable building, design & history",shop,c1960,wood frame,"1 story, flat roof w/ bracketed cornice; storefront",,,unpaved parking lot N side
86.127-1-24.1,93,Main St,Library,Domestic,Single Dwelling,1800,c1970,Federal,1 1/2,stone,stone,wood clapboard,,gable,wood shingle,stone,entrance,entrance,intact,intact,intact,Yes,No,"1 1/2 story 5 bay façade w/ central entrance w/ wood, front gable porch w/ wood balustrade, benches and arched ceiling; wood frame gable hood over rear (N) door;  wood frame kitchen ell on W side; 2 front, 1 rear dormers",notable example of type,,,,includes house and garage recorded on separate entry (4 N. Front St.),,,"mature maple in front, mature locust in rear; large paved parking lot N side"
86.34-6-15,101,Main St,Commercial,Commerce/ Trade,Specialty Store,1936,1962,Colonial Revival,1,brick,brick,,,gable,asphalt,concrete,side,side,intact,altered,altered,Yes,No,"1 story, 3 bay façade, blonde specialty brick, central entrance w/ pedimented Colonial Revival architrace w/ arched leaded glass tramson & detached side lights; flanking bays infilled w/ 4-part casement windows; arched windows in gables",,garage,1936,brick,1 story gable roof; brick to match main building; vehicle doors infilled to create offices,commercial,c1980,paved parking lot on street side (S)
86.34-7-2,102,Main St,Commercial,Domestic,Multiple Dwelling,1862,1953,Italianate,2,wood frame,wood clapboard,,metal clapboard,gable,asphalt,stone,entrance,entrance,altered,mixed,altered,Yes,Yes,"2 story, 5 bay façade w/ large central cross gable dormer; bracketed cornice, plain square head surrounds; 2 part storefront, w/ 3 entrances centrally located; plate glass display windows; box cornice; 2 story, shed roof rear ell S side",,,,,,,,paved parking lot S side
86.34-6-14,107,Main St,Commercial,Domestic,Single Dwelling,1907,c1950,Classical Revival,2,wood frame,wood clapboard,,wood clapboard,gable,asphalt,stone,,,,altered,altered,Yes,No,"2 story, 5 bay façade w/ 1 story flat roof ell attached to W end (shop); exposed rafter ends, shop cornice w/ brackets; 1st story façade altered for commercial function w/ multipaned glazed wall & 1 story hipped roof bay E side; 5 window bays intact on 2n",,barn,1907,wood frame,"2 story, gable roof, wood novelty siding; 1 vehicle bay w/ OHD; ENDANGERED",,,outdoor seating area along sidewalk
86.34-7-4,122,Main St,Single Family Residence,Domestic,Single Dwelling,1860,,Gothic Revival,2,brick,brick,,,gable,asphalt,stone,entrance,entrance,altered,intact,intact,Yes,No,"2 story, 5 bay façade w/ large central cross gable dormer; wood bracketed cornice; bluestone lintels & sills; entrance w/ Greek Tevival architrave, sidelights & transom (remains from original 1841 house); historic wood porch removed; wood blinds",notable example of type,barn,1895,wood frame,"2 story, gable roof (asphalt, wood novelty siding; 2 garage bays, 1 single, 2 double bays w/ OHD; hanging track mow doors",,,"stone retaining wall along sidewalk, break w/ steps for entrance to yard; hedge at foundation; mature trees in rear; paved parking lot between house & barn"
86.34-7-39.2,124,Main St,Commercial,Funerary,Mortuary,1950,c2000,,1,wood frame,wood clapboard,,wood clapboard,cross gable,asphalt,concrete block,wrap,wrap,intact,intact,intact,Yes,No,"L-shaped service building, domestic scale",,,,,,,,paved parking lot
86.34-6-12,125,Main St,Commercial,Commerce/ Trade,Specialty Store,1954,1967,,1,concrete block,stone,concrete block,,flat,asphalt,concrete block,full front,full front,altered,intact,intact,Yes,No,1 story parapet façade w/ stone veneer; metal & glass storefront w/ fixed & illuminated canvas sign awning (c2001); fire damaged in 1967 and rebuilt,,,,,,,,
86.34-7-39.1,126,Main St,Commercial,Domestic,Single Dwelling,1914,,Dutch Colonial Revival,2,wood frame,wood clapboard,wood shingle,,false gambrel,asphalt,stone,entrance,entrance,intact,intact,intact,Yes,No,"1 story, 3 bay façade, projecting entrance bay in center w/porch; large 2 bay gross gable dormer in gambrel roof; classical cornices; large cross gable rear dormer; wood blinds",notable example of type,,,,,,,paved parking lot S side
86.34-6-11,127,Main St,Commercial,Commerce/ Trade,Specialty Store,1950,2003,,2,concrete block,brick veneer,concrete block,,flat,asphalt,concrete block,full front,full front,altered,mixed,altered,Yes,No,2 story façade w/ brick veneer; metal & glass storefront w/ fixed & illuminated canvas sign awning (2003); 3 window bays intact on  2nd story,,,,,,,,
86.34-6-10,131,Main St,Commercial,Commerce/ Trade,Specialty Store,1950,"1968, 1978",Roadside,1,concrete block,metal panels,,stucco,flat,asphalt,concrete block,,,,altered,altered,No,No,1 story gas station type w/ 2 large work bays W side  & office on E side; flat roof metal canopy S side over gas pumps,,,,,,,,paved parking lot E side; gas pumps S side
86.34-7-40,134,Main St,Commercial,Domestic,Single Dwelling,1908,c1980,Queen Anne,2,wood frame,wood clapboard,,,front gable,asphalt,stone,wrap,wrap,intact,intact,intact,Yes,No,"2 story, front gable façade; 3 bay 1st story w/ central entrance & front gable porch; 2nd story w/ 2 window bays; roofless platform w/ stone base & wood balustrade wraps to E & W sides, porte cochere W side; box cornice; cross gable bay windows E & W side",notable example of type,barn,1908,wood frame,"2 story, gable roof, wood clapboard; altered to dwelling",,,large front lawn (N); paved parking lot rear (S)
86.34-7-8.1,138,Main St,Commercial,Commerce/ Trade,Specialty Store,1962,,,1,concrete block,concrete block,,,flat,asphalt,concrete block,,,,,intact,No,No,"1 story, flat roof w/ parapet façade","property associated w/ house located on lot 86.34-7-8.2; house moved to rear of property, barn relocated",barn,1898,wood frame,"2 story, gable slate roof; wood clapboard siding",,,paved parking lot E side
86.34-9-10,139,Main St,Commercial,Commerce/ Trade,Specialty Store,1908,1962,,2,wood frame,wood clapboard,,,cross gable,asphalt,stone,full front,full front,intact,mixed,altered,Yes,No,"2 story, gable roof wagon barn adapted to bus station in 1962",,,,,,,,paved parking lot W side
86.34-7-9,142,Main St,Single Family Residence,Domestic,Single Dwelling,1902,,Queen Anne,2,wood frame,wood clapboard,wood shingle,,front gable,asphalt,brick,wrap,wrap,intact,intact,intact,Yes,No,"2 story, front gable façade, central entrance; 2 sotry bay window E side of façade; projecting shingled gable, bracketed cornice; large fan element over window; porch w/ column posts & turned balustrade wraps to w side & includes porte cochere",notable example of type,barn,1902,wood frame,"2 story, gable roof, wood novelty siding, 3 bays w/ hanging track doors",,,mature fir tree in front
86.34-9-9,145,Main St,Commercial,Domestic,Multiple Dwelling,1911,,Four Square Colonial Revival,2,wood frame,wood clapboard,,metal clapboard,hipped,asphalt,stone,full front,full front,intact,mixed,altered,Yes,No,"2 story, 3 bay façade, projecting cross gable center bay w/ 2 entrances; large windows 1st story flanking bays; porch w/ column posts; broken eave side dormer",,,,,,,,
86.34-9-8,149,Main St,Church,Religion,Religious Facility,1929,1960,Tudor Revival,1,wood frame,wood clapboard,stucco,,front gable,asphalt,brick,entrance,entrance,intact,intact,intact,Yes,No,timber & stucco front gable; diamond pane leaded glass windows; heavy wood plank door w/ strap hinges; carved cross ar ridge; small steeple in rear,,,,,,,,
86.34-10-10,153,Main St,Commercial,Domestic,Single Dwelling,1924,,Classical Revival,2,wood frame,wood clapboard,,vinyl clapboard,front gable,asphalt,stone,wrap,wrap,intact,altered,altered,Yes,No,"2 story, front gable façade; porch w/ column posts, cobblstone piers added",,,,,,,,bluestone sidewalk along Grove St
86.34-7-12,156,Main St,Multi Family Residence,Domestic,Single Dwelling,1908,,Shingle Style,2,wood frame,cobblestone,wood shingle,metal clapboard,gable,asphalt,stone,wrap,wrap,altered,intact,altered,Yes,No,"1 story façade, cobblestone veneer, bay window; porch wraps to W side; porch under extension of roof, column posts (rail and deck replaced); 2 story bay window E side w/ cross gambrel dormer; diamond pattern upper sash",,,,,,,,mature maples on street; wooded rear lot 86.34-7-13
86.34-10-9,157,Main St,Commercial,Domestic,Single Dwelling,1922,,Colonial Revival,2,wood frame,wood clapboard,,,gable,asphalt,stone,,,,altered,altered,Yes,No,"2 story, 5 bay façade, center entrance; fenestration altered; louvered window blinds; cobblestone chimney",,,,,,,,paved parking lot in rear; railroad tie retaining wall in front
86.34-7-14,158,Main St,Multi Family Residence,Domestic,Single Dwelling,1907,,Gothic Revival,2,wood frame,wood clapboard,,metal clapboard,front gable,asphalt,stone,wrap,wrap,intact,replaced,altered,Yes,No,"2 story, 3 bay front gable façade; arched window in gable; plain box cornice; porch wraps on W side, turned posts & balustrade, scroll sawn braces, pediment above entry; 2 story, 1 bay cross gable bay W side",,,,,,,,
86.34-7-14,160,Main St,Commercial,Commerce/ Trade,Specialty Store,1938,1956,Moderne,1,concrete block,metal panel,stucco,,flat,asphalt,concrete block,,,,altered,altered,No,No,1 story gas station & repair shop; flat roof canopy above gas pumps,,,,,,,,
86.34-11-1,164,Main St,Commercial,Commerce/ Trade,Specialty Store,1916,"1920, 1922",,2,wood frame,wood clapboard,,metal clapboard,front gable,asphalt,stone,full front,full front,altered,mixed,altered,Yes,No,2 story façade w/ parapet; plate glass shop windows,,,,,,,,
86.144-1-13,165,Main St,Multi Family Residence,Domestic,Single Dwelling,1901,1950,Queen Anne,2,wood frame,wood clapboard,,vinyl clapboard,front gable,asphalt,brick,entrance,entrance,altered,mixed,altered,Yes,No,"2 story, 3 bay front gable façade, side entrance w/ porch (replaced), window in gable; 2 story, cross gable bay on E side; 1 story addition on rear","built for Edward Welsch; John H. Hasbrouck, builder",shed,c1901,wood frame,"1 story, front gable, wood clapboard siding",,,paved parking lot in rear
86.34-11-2,168,Main St,Multi Family Residence,Domestic,Single Dwelling,1898,1914,Colonial Revival,2,wood frame,wood clapboard,,vinyl clapboard,gable,slate,stone,entrance,entrance,altered,intact,altered,Yes,No,"2 story, 5 bay façade, center entrance w/ side lights & canopy (alteration), stone pad & steps; brick chimney",,barn,1898,wood frame,"2 story, gable roof, wood novelty siding, slate roof, 3 bays w/ OHDs, loft door",,,
86.144-1-12,169,Main St,Commercial,Domestic,Single Dwelling,1950,,Ranch,1,wood frame,wood clapboard,,vinyl clapboard,cross gable,asphalt,concrete block,full front,full front,altered,mixed,altered,Yes,No,"1 story, 2 bay façade w/ entrance notched into SW corner; large 6-casement display window; brick steps and wheelchair ramp added to front",,,,,,,,paved parking lot in rear
86.144-1-11,171,Main St,Commercial,Domestic,Single Dwelling,1925,,Colonial Revival,2,wood frame,wood clapboard,,,gable,asphalt,concrete block,entrance,entrance,altered,intact,intact,Yes,No,"2 story, 3 bay façade, center entrance w/front gable hood and brick pad (altered); paired windows on façade; porch on E side (altered); brick chimney W side",built for Robert Forshaw,,,,,,,paved parking lot in rear
86.34-11-3,172,Main St,Single Family Residence,Domestic,Single Dwelling,1890,c1920,Bungalow,1 1/2,brick,brick,wood clapboard,vinyl clapboard,gable,asphalt,stone,full front,full front,enclosed,intact,altered,Yes,No,"1 1/2 story, 3 bay façade, center entrance, paired windows; roof extended to create proch Bungalow style w/ stone piers; shed roof dormer added over porch",,garage,c1920,stone,"1 story, hipped standing seam metal roof; 1 bay w/ OHD",,,
86.144-1-10,175,Main St,Commercial,Domestic,Multiple Dwelling,1908,1985,Four Square,2,wood frame,wood clapboard,,vinyl clapboard,hipped,asphalt,concrete block,full front,full front,removed,altered,altered,Yes,No,"2 story, 3 bay façade; large shed roof addition attached to façade (1985), central hipped roof dormer; fenestration altered",built for Ira DuBois as boarding house,,,,,,,paved parking lot in rear
86.34-11-4.1,176,Main St,Commercial,Domestic,Single Dwelling,1890,,Queen Anne,2,wood frame,wood clapboard,,,front gable,slate,stone,wrap,wrap,intact,mixed,intact,Yes,No,"2 story, 2 bay front gable façade, large plate glass window w/ diamond pattern leaded glass transom; porch w/ rounded corner, column posts, iron replacement railing; 2 story rear ell",,,,,,,,
86.34-11-5,180,Main St,Single Family Residence,Domestic,Single Dwelling,1890,,Queen Anne,2,wood frame,wood clapboard,wood shingle,,gable,asphalt,stone,wrap,wrap,altered,mixed,intact,Yes,No,"2 story, 2 bay façade, 2 story bay window; porch repaired & partially enclosed, square & column posts; cut shingles in gable; 2 story bay window W side, slate roof",,garage,c1920,wood frame,"1 story, front gable, wood novelty siding; 1 bay, infilled w/ sliding glass doors",,,
86.144-2-14,183,Main St,Commercial,Domestic,Single Dwelling,1925,,Bungalow,1,wood frame,wood clapboard,wood shingle,,gable,asphalt,brick,full front,full front,intact,intact,intact,Yes,No,"1 story, 3 bay façade, full front porch under extension of roof, knee wall rail w/ wood posts, front gable dormer w/ paired windows; bay W side",notable example of type,,,,,,,unpaved parling lot W side
86.144-2-13,185,Main St,Commercial,Commerce/ Trade,Specialty Store,1950,,Moderne,1,concrete block,concrete block,,,flat,asphalt,concrete block,entrance,entrance,intact,intact,intact,Yes,No,"1 story, flat roof gas station; 3 bay façade, 2 garage bays on N side, entrance & plate glass corner windows S side, metal edged flat roof pent over entrance & S side",built for Shiro gas station,,,,,,,paved parking area; gas pumps removed c2000
86.35-1-1,191,Main St,Commercial,Commerce/Trade,Financial Institution,1964,,Modern,1,concrete block,brick veneer,glass,,flat,asphalt,concrete,,,,intact,intact,Yes,No,1 story square plan form with flanking wings; façade composed of plate glass windows; central entrance; broad frieze band at rood edge w/ alternating pebbled and smooth square panels,notable example of type,,,,,,,paved parking lot on W & N sides; includes 86.35-1-2
86.42-4-1,196,Main St,Education,Domestic,Single Dwelling,1930,"1953, c1990",Four Square Craftsman,2,wood frame,wood clapboard,,,hipped,asphalt,concrete block,full front,full front,intact,intact,intact,Yes,Yes,"intact exterior materials, cobblestone chimney W side; entrance and porch on side elevation",This property is part of the central school district's office complex and functions with the adjacent house as offices.,,,,,,,
86.42-4-6.1,196,Main St,Education,Domestic,Single Dwelling,1930,c1990,Bungalow,1,wood frame,wood clapboard,,,cross gable,asphalt,concrete block,full front,full front,enclosed,intact,intact,Yes,Yes,"prominent front-facing cross gable bay with shed dormers on N & W sides; porch supported by brick piers and tapered pylons, arched frieze; 3-sided bay window E side; exposed rafter ends and braces on gable end overhangs",,barn,c1930,wood frame,wood novelty siding; doors altered,,,
86.35-1-29,199,Main St,Commercial,Domestic,Single Dwelling,1928,,Bungalow,1,wood frame,wood clapboard,,vinyl clapboard,gable,asphalt,concrete block,full front,full front,enclosed,mixed,altered,Yes,No,"1 story, 2 bay façade; full front porch under extension of roof (partially enclosed); 2 shed roof dormers",built by Stanley Hasbrouck,,,,,,,mature maple in front
86.35-1-30,201,Main St,Commercial,Domestic,Single Dwelling,1924,,Bungalow,1,wood frame,wood clapboard,,vinyl clapboard,gable,asphalt,concrete block,full front,full front,enclosed,mixed,altered,Yes,No,"1 story, 2 bay façade; full front porch under extension of roof (enclosed); shed roof dormer","built for Amy Shamback by Stanley Hasbrouck, Sr.",,,,,,,
86.35-1-31,203,Main St,Commercial,Domestic,Single Dwelling,1925,,Four Square Colonial Revival,2,wood frame,wood clapboard,,vinyl clapboard,hipped,asphalt,stone,full front,full front,enclosed,mixed,altered,Yes,No,"2 story, 2 bay façade; full front porch (enclosed w/ door & 2 windows); 2 paired windows on 2nd story, hipped roof dormer in center of roof",,garage,c1940,wood frame,"1 story, hipped roof, 2 bays w/ OHD",,,
86.35-1-32,207,Main St,Commercial,Domestic,Single Dwelling,1925,,Bungalow,1,wood frame,wood clapboard,,,gable,asphalt,brick,full front,full front,intact,replaced,intact,Yes,No,"2 story, 2 bay façade; full front porch under extension of roof, wood posts and railing; shed roof dormer",built for Frank Wissel,shop,c1940,wood frame,"1 story, gable roof, wood clapboard (vinyl over); entrance on E end",,,mature trees at rear (N) of lot
86.42-4-2,210,Main St,Multi-Family Residence,Domestic,Multiple Dwelling,1930,c1995,Craftsman,2,wood frame,stucco,wood clapboard,metal clapboard,front gable,asphalt,stone,entrance,entrance,intact,intact,intact,Yes,Yes,stucco finish; front-gable porch with brick deck; shed dormers on the sides,,,,,,,,large lot on E side w/ parking area; firewood stockpiled in rear of lot
86.35-1-33,211,Main St,Commercial,Domestic,Single Dwelling,1949,,Colonial Revival,2,wood frame,wood clapboard,,vinyl clapboard,gable,asphalt,concrete block,entrance,entrance,intact,altered,altered,Yes,No,"2 story, 2 bay façade; entrance in front gable vestibule, stone pad & steps & iron railing; 4 part picture window E side (alteration); shed roof addition E side; open porch W side",,dwelling,c1940,wood frame,"1 1/2 story, gable roof",,,mature trees at street
86.42-4-3,218,Main St,Commercial,Domestic,Single Dwelling,1930,c1980,Colonial Revival,1,wood frame,wood clapboard,,vinyl clapboard,front gable,asphalt,concrete block,rear,rear,intact,replaced,altered,Yes,No,,,,,,,,,"mature maples at street, paved parking lot in rear"
86.42-4-4,220,Main St,Recreation,Domestic,Single Dwelling,1927,,Bungalow,1,wood frame,wood clapboard,,,clipped gable,asphalt,stone,full front,full front,intact,intact,intact,Yes,Yes,"porch with cobblestone base and piers, wood panel pylons, arched frieze; diamond pattern upper sash on 1st story; front dormer w/ 2 jerkin head sections, rear shed dormer; cobblestone chimney E side; concrete wheelchair ramp E side",notable example of type; [Teen Seen],shed,c1995,wood frame,"prefab, front gambrel roof, swing doors",,,"mature firs on W side, maples on E side; paved parking loy in rear"
86.42-4-5,222,Main St,Commercial,Domestic,Single Dwelling,1930,c1990,Cape,1,wood frame,wood clapboard,,vinyl clapboard,gable,asphalt,concrete block,entrance,entrance,intact,replaced,altered,Yes,Yes,"3-bay façade w/ center entrance vestibule fronted by brick deck with iron rail; paired windows; 1-bay garage attached to W end, altered to room","medical building, vacant",,,,,,,paved parking lot in rear
86.35-1-47,223,Main St,Commercial,Domestic,Single Dwelling,1950,,Cape,1,wood frame,wood clapboard,,metal clapboard,gable,asphalt,concrete block,entrance,entrance,intact,intact,intact,Yes,No,"1 story, 3 bay façade; central entrance, brick & concrete pad & steps, iron railings, front gable roof w/ wood posts; entrance & porch E side; shed roof dormer on rear",,,,,,,,
86.35-1-46,225,Main St,Multi Family Residence,Domestic,Multiple Dwelling,1900,,Four Square Craftsman,2,wood frame,wood clapboard,,vinyl clapboard; asbestos shingle,hipped,asphalt,stone,entrance,entrance,altered,replaced,altered,Yes,No,"2 story, 4 bay façade, paired entrances in center, pent roof over entrances, wood porch deck & steps (replaced), central shed roof dormers on front & sides, 2 story shed roof rear extension (prob. Enclosed porch) ; vinyl clapboard on front only",,,,,,,,
86.35-1-45,227,Main St,Single Family Residence,Domestic,Single Dwelling,1925,,Craftsman,1 1/2,wood frame,wood novelty siding,,,gable,asphalt,concrete block,,,,mixed,altered,Yes,No,"1 1/2 story, 2 bay front gable façade; shed roof broken eave dormers on sides; 1 story shed roof rear extension; shed roof addition W side w/ attached 1 story, flat roof garage",,garage,c1935,wood frame,"1 story, gable roof, wood novelty siding, 3 bays w/ swing doors",barn,c1924,
86.34-2-19,9-15,Main St,Commercial,Commerce/ Trade,Specialty Store,1921,,Classical Revival,2,wood frame,wood clapboard,,T-111 plywood panels,flat,asphalt,concrete block,,,,replaced,altered,Yes,No,"irregular polygon plan w/ acute angle in SW corner; 2 store fronts w/ wood box cornice (infilled w/ replacement windows, doors and T-111 siding); rear ell",,,,,,,,unpaved parking lot; abuts rail trail
,,Main St,Bridge,Transportation,Road Related,1940,,,,steel,,,,,,concrete,,,,,intact,Yes,Yes,Metal through truss bridge,,,,,,,,
86.34-6-13,115-117,Main St,Commercial,Commerce/ Trade,Specialty Store,1931,,,2,concrete block,brick veneer,concrete block,,flat,asphalt,concrete block,entrance,entrance,intact,intact,intact,Yes,No,2 story brick veneer stepped parapet façade; 1st story metal & glas storefront w/ central entrance recessed witin display windows; 4 window bays on 2nd story,,,,,,,,
86.34-6-13,119-121,Main St,Commercial,Domestic,Multiple Dwelling,1900,2003,Classical Revival,2,wood frame,wood clapboard,,stucco; asbestos shingle,gable,asphalt,stone,full front,full front,altered,mixed,altered,Yes,No,2 story façade w/ stucco veneer; metal & glass storefront w/ fixed & illuminated canvas sign awning (2003); entrance to 2nd story w side; 6 window bays on 2nd story façade; 2 story cross gable rear ell,,,,,,,,
86.34-10-8,161-163,Main St,Church,Religion,Religious Facility,1920,c1980,Shingle Style,1,wood frame,wood shingle,,wood shingle,gable,asphalt,stone,entrance,entrance,intact,intact,intact,Yes,No,"front gable façade, central entrance w/ front gable vestibule; arched double door, strap hinges; massive brackets along raking roof edge, scroll sawn exposed rafter ends; rose window in gable, Gothic windows on side; resided over half-timber in gable",,rectory,c1930,wood frame,"2 story façade facing W and perpendicular to street; central entrance w/ front gable roof canopy, massive wood brackets, stone steps & piers; porch on S (street) side w/ stone piers, wood posts; exposed rafter ends",,,
